CODE2,area,Ycount,Ycount_EXP,id,population,std_born_CNT,std_divorce_CNT,std_crime_CNT,std_high_edu_CNT,std_mid_edu_CNT,std_low_edu_CNT,std_cvs_CNT,std_disable_CNT,std_low_CNT,std_midlow_CNT,std_native_CNT,std_plant_rate,std_hospital,std_waterside_rate,std_edu_per_kid,std_OLDW_CNT,std_first_inds_CNT,std_second_inds_CNT,std_third_inds_CNT,std_rcp_index,std_sale_index,log_Ycount,caseRate
A6501-05,0,13,6.332045516136342,1,2943,-0.168927288279124,0.03117815060934392,-1.182189859487399,-0.17441238698025072,0.2946424882332241,0.6859024267902255,0.668634461998191,-0.7810663022936789,-0.5972190118824241,-0.24334281109196707,-0.4032715935618647,-0.42747411844287714,0.932129096953374,-0.2651886873694827,-0.776140772703162,-0.2153495023861204,-0.35679044623646006,0.2511107924978928,0.056114572692911036,-0.14781766008131883,-0.11509036843769754,2.6390573296152584,441.72612979952424
A6501-06,0,3,5.2132335323134065,2,2423,-0.6489029450121914,-0.4485751956776395,-1.3380046598889868,-0.9129298211610969,0.06396714179165346,0.7683434341528662,-0.7624334197003069,-0.3012347002618728,-0.8417054525913993,-0.9797157084972158,-0.5180736887058031,-0.42747411844287714,1.1733885537301643,-0.2651886873694827,-0.8077238464515216,-0.2153495023861204,-0.35679044623646006,0.015956176494000662,-0.1382086996666842,-0.6459151990404373,-0.6290049278492073,1.3862943611198906,123.81345439537762
A6501-07,0,8,5.480027159225029,3,2547,-0.5344472114835365,-0.3341724746399741,-1.3008488228701465,-0.9258216466954259,0.29756242932742116,0.747733182312206,-0.04689947885105795,0.09862496809796555,-0.4194106913668058,-0.3102858017651715,-0.6328757838497414,-0.42747411844287714,0.4496101833997934,-0.2651886873694827,-0.8296946803634241,-0.2153495023861204,-0.35679044623646006,-0.13521464807993,-0.12631135646099467,-0.5271380935963398,-0.5064560713741547,2.1972245773362196,314.0950137416569
A6501-08,0,7,5.746820786136652,4,2671,-0.41999147795488234,-0.21976975360230908,-1.2636929858513064,-0.5703755998203552,-0.014871267751668154,0.6962075527105556,-0.04689947885105795,-0.43452125638181893,-0.508314851624615,-0.7788867364776024,-0.5410341077345907,-0.42747411844287714,-0.0329087301537872,-0.2651886873694827,-0.7459308760742962,1.5275149291115853,-0.35679044623646006,-0.15201140636592228,5.936377330266883e-4,-0.4083609881522426,-0.3839072148991028,2.0794415416798357,262.0741295394983
A6501-09,0,12,5.2777803775339605,5,2453,-0.6212120417391299,-0.4208971180072367,-1.3290153444812027,-0.841103936041264,-0.04407067869363912,0.45918965654296356,-0.04689947885105795,-0.4878358788297974,-0.6861231721402332,-0.3102858017651715,-0.4721528506482277,-0.42747411844287714,-0.7566871004841581,-0.2651886873694827,-0.8750095253067227,-0.2153495023861204,-0.35679044623646006,-0.06802761493596081,-0.4792658715631166,-0.6171788025620268,-0.5993560109600818,2.5649493574615367,489.19690175295557
A6501-23,0,5,6.368622061761322,6,2960,-0.15323577642438965,0.04686239462257193,-1.1770959140896549,-0.6679851360088461,0.4756788360734441,1.7370252706638944,-0.7624334197003069,0.5251419476817931,-0.5305408916890673,-0.44417178311158034,-0.2884694984179263,-0.42747411844287714,-0.0329087301537872,-0.2651886873694827,-0.7953652523760766,-0.2153495023861204,-0.35679044623646006,-0.05123085664996852,-0.04699573508973132,-0.1315337020768868,-0.09828931553386008,1.791759469228055,168.91891891891893
A6501-24,0,6,5.789852016283688,7,2691,-0.4015308757728415,-0.20131770182204045,-1.2577001089127837,-0.8871461700924389,0.39100054434172826,1.2526843524083804,-0.04689947885105795,0.09862496809796555,-0.06379405033556926,-0.5780577644579892,-0.33439033647550165,-0.42747411844287714,0.2083507266230031,-0.2651886873694827,-0.7706480642251864,-0.2153495023861204,-0.35679044623646006,-0.25279195608187605,-0.2452847885178897,-0.3892033904999688,-0.3641412703063524,1.9459101490553132,222.9654403567447
A6501-25,0,6,5.888823845621871,8,2737,-0.3590714907541468,-0.15887798272742262,-1.2439164919541819,-0.6753518934570342,0.4026803087185167,0.7889536859935263,-0.7624334197003069,0.6051138813537609,-0.4194106913668058,-0.5111147737847848,-0.15070698424520024,-0.42375234726808325,-0.7566871004841581,-0.2651886873694827,-0.8200824405269668,-0.2153495023861204,-0.35679044623646006,0.03275293477999296,-0.26511369386070555,-0.3451409158997388,-0.3186795977430263,1.9459101490553132,219.21812203142127
A6501-26,0,12,6.140556541982031,9,2854,-0.2510769679892069,-0.050933479812851096,-1.2088581618638246,-0.7158690594220681,0.6216758907832989,0.8301741896748467,-0.04689947885105795,0.20525421299392244,-0.5305408916890673,-0.5780577644579892,0.03297636798510117,-0.42747411844287714,0.2083507266230031,-0.2651886873694827,-0.7047355624894792,-0.2153495023861204,-0.35679044623646006,-0.10162113150794541,-0.0747562025696735,-0.23306896963393747,-0.20304882187543646,2.5649493574615367,420.4625087596356
A6501-27,0,3,5.766184839702818,10,2680,-0.41168420697296376,-0.2114663303011879,-1.260996191228971,-0.21124617422119069,-0.3185451415481662,-0.3033896615614629,0.668634461998191,-1.527471016565377,-0.7083492122046856,-1.3144306618632378,-0.4721528506482277,-0.42747411844287714,-0.0329087301537872,-0.2651886873694827,-0.7500504074327778,-0.2153495023861204,-0.35679044623646006,-0.1688081646519146,-0.27701103706639507,-0.3997400692087192,-0.3750125398323649,1.3862943611198906,111.9402985074627
A6501-28,0,0,6.005008167018868,11,2791,-0.3092278648626359,-0.10905744292069727,-1.2277357242201707,0.20681731096347783,-0.8499744206920378,-0.9938330982235788,-0.7624334197003069,-1.6074429502373448,-0.819479412526947,-1.180544680516829,-0.4032715935618647,-0.42747411844287714,-0.27416818693057754,-0.2651886873694827,-0.611359518363894,-0.2153495023861204,-0.35679044623646006,-0.01763734007798393,-0.29287416134064775,-0.29341540223859985,-0.2653115473426003,0,0
A6501-10,0,11,6.585929774003853,12,3061,-0.06000973540508207,0.1400452561129284,-1.1468318855501156,-0.41199031468431346,0.6216758907832989,1.098107463603429,0.668634461998191,0.17859690176993323,-0.21937633078673527,-1.04665869917042,-0.4032715935618647,-0.42747411844287714,-0.27416818693057754,-0.2651886873694827,-0.7651553557472108,-0.2153495023861204,-0.35679044623646006,-0.1856049229379069,-0.16596916714662635,-0.0347878339329042,0.001528704659529405,2.4849066497880004,359.35968637700097
